"Sample_ID,Temperature,Pressure,Vibration,Speed,Voltage,Response"
"58,70.39,107.35,0.54,1615.85,222.7,1"
"59,82.48,115.03,0.65,1856.49,223.17,1"
"60,64.23,115.7,0.13,1585.78,228.8,1"
"61,83.29,115.73,0.6,1545.62,228.83,1"
"62,117.67,126.21,0.32,1069.36,212.02,0"
"63,65.67,117.32,0.18,1318.98,226.9,1"
"64,108.87,101.27,0.23,1696.74,222.58,1"
"65,104.1,122.14,0.41,1177.44,225.01,1"
"66,119.43,106.5,0.51,1776.41,216.82,1"
"67,111.5,107.16,0.93,1754.54,212.06,1"
"68,90.32,123.06,0.45,1895.52,217.78,1"
"69,114.32,93.65,0.45,1950.06,229.01,1"
"70,97.91,107.94,0.42,1328.66,223.45,1"
"71,107.49,121.58,0.2,1494.42,211.15,1"
"72,86.49,125.51,0.49,1117.07,212.86,1"
"73,97.09,94.04,0.19,1700.97,211.46,1"
"74,102.37,93.25,0.19,1986.64,217.49,1"
"75,108.77,127.89,1.18,1753.38,217.53,0"
"76,106.63,112.34,0.57,1906.35,212.22,1"
"77,60.68,108.75,0.16,1118.82,212.35,1"
"78,104.76,113.33,1.16,1374.87,215.71,1"
"79,73.42,128.53,0.11,1969.88,210.86,1"
"80,91.66,129.72,0.18,1553.85,229.39,1"
"81,97.76,117.83,0.6,1627.56,221.69,1"
"82,62.73,101.24,1.15,1890.26,219.11,0"
"83,76.64,97.52,0.61,1353.35,221.67,1"
"84,118.46,129.45,0.87,1536.1,216.19,1"
"85,101.08,96.5,1.1,1822.54,229.0,1"
"86,96.8,106.73,1.13,1866.06,210.9,0"
"87,82.59,122.42,1.19,1150.42,221.88,0"
"88,118.19,123.68,1.02,1468.69,218.3,0"
"89,63.38,124.59,0.99,1999.72,229.93,0"
"90,106.14,127.79,1.03,1247.35,219.01,0"
"91,117.24,114.25,0.35,1671.7,222.36,1"
"92,66.81,116.86,0.67,1772.32,220.4,1"
"93,93.11,112.44,1.06,1403.48,212.68,0"
"94,105.31,114.81,0.87,1212.96,212.73,0"
"95,81.04,113.6,0.53,1437.47,228.08,1"
"96,90.84,121.35,0.54,1622.09,227.25,1"
"97,68.82,127.06,0.64,1258.24,219.18,1"
"98,89.56,103.15,0.8,1240.15,211.52,1"
"99,67.68,96.08,0.25,1640.87,213.64,1"
"100,113.81,108.96,0.83,1172.32,213.85,0"
"101,70.14,101.14,0.29,1088.7,212.41,1"
"102,72.38,104.57,0.65,1690.39,210.79,1"
"103,97.67,93.27,1.06,1920.87,211.22,0"
"104,108.37,119.93,0.3,1209.35,217.41,1"
"105,97.1,104.76,0.61,1747.47,210.73,1"
"106,102.8,125.81,0.66,1532.11,212.14,1"
"107,91.96,99.7,0.4,1377.28,210.4,1"
"108,72.69,103.1,0.23,1890.53,221.87,1"
"109,107.35,109.94,0.2,1537.11,221.74,1"
"110,85.9,95.1,0.41,1363.08,222.92,1"
"111,81.37,129.46,0.77,1237.23,212.04,1"
"112,74.76,96.43,0.31,1285.1,213.47,1"
"113,64.81,110.98,0.55,1982.38,212.24,1"
"114,118.17,124.62,1.0,1257.9,213.42,0"
"115,115.76,112.27,0.73,1279.98,225.39,0"
"116,79.42,107.02,0.66,1242.41,212.3,1"
"117,77.32,113.25,0.27,1481.14,220.65,1"
"118,80.2,95.38,0.17,1989.96,216.45,1"
"119,75.28,117.26,0.94,1595.64,219.43,0"
"120,80.93,127.18,1.01,1965.03,212.49,1"
"121,116.3,97.25,0.17,1741.12,221.49,1"
"122,68.39,121.81,0.32,1163.66,213.29,1"
"123,99.91,110.92,0.49,1877.2,217.85,1"
"124,86.35,105.08,0.61,1301.38,224.95,1"
"125,73.93,125.98,0.52,1543.55,228.13,1"
"126,67.01,127.59,0.79,1334.91,212.79,1"
"127,97.2,111.34,1.08,1788.6,213.03,0"
"128,74.91,119.76,0.14,1569.89,225.25,1"
"129,80.52,122.85,0.22,1846.45,212.55,1"
"130,107.84,96.0,0.35,1722.25,224.4,1"
"131,101.64,111.71,0.38,1345.7,213.63,1"
"132,95.0,106.03,0.61,1947.28,213.07,1"
"133,90.35,114.46,0.12,1872.12,228.64,1"
"134,101.8,126.9,0.88,1152.54,221.53,0"
"135,85.45,119.46,1.13,1925.57,219.02,0"
"136,119.09,123.56,0.24,1920.84,227.4,1"
"137,95.48,105.96,0.16,1335.2,226.06,1"
"138,80.01,105.93,0.69,1919.86,216.93,1"
"139,104.25,108.09,0.35,1452.44,212.82,1"
"140,89.9,106.76,1.11,1362.39,221.61,1"
"141,60.79,116.54,0.3,1961.07,212.97,1"
"142,65.12,129.87,0.65,1595.39,211.34,1"
"143,72.59,125.92,0.33,1190.69,210.73,1"
"144,93.89,92.63,0.95,1453.29,220.49,0"
"145,84.05,112.39,0.27,1181.93,227.24,1"
"146,82.4,100.83,0.81,1408.73,210.51,0"
"147,102.96,116.36,0.13,1221.97,214.62,1"
"148,61.18,94.16,0.98,1178.54,223.05,0"
"149,65.97,99.73,0.89,1855.7,226.6,0"
"150,100.09,98.2,0.42,1896.34,210.26,1"
"151,72.47,91.06,0.3,1583.04,218.43,1"
"152,109.05,103.67,0.39,1379.69,221.81,1"
"153,97.45,106.38,0.71,1436.13,215.89,1"
"154,105.82,95.6,1.06,1487.43,227.89,1"
"155,85.51,90.9,0.4,1541.63,222.67,1"
"156,68.36,123.4,1.18,1525.69,213.43,0"
"157,61.1,126.57,0.23,1576.52,215.48,1"
"158,99.09,123.19,0.33,1011.0,212.74,1"
"159,112.43,113.9,0.76,1665.04,213.51,1"
"160,85.13,105.33,0.67,1046.97,213.33,1"
"161,64.97,114.13,0.37,1389.3,215.77,1"
"162,103.14,101.88,0.72,1476.05,223.27,1"
"163,103.95,98.6,0.13,1262.26,221.9,1"
"164,89.78,113.87,0.47,1770.91,212.13,1"
"165,103.69,109.82,0.86,1434.83,214.93,1"
"166,107.96,117.79,0.4,1590.23,217.22,1"
"167,115.04,95.47,1.15,1446.01,213.7,0"
"168,112.38,119.29,0.99,1658.78,223.85,1"
"169,74.98,109.58,0.34,1987.67,228.88,1"
"170,102.33,127.01,0.3,1567.95,228.31,1"
"171,101.85,101.89,1.12,1971.06,228.89,0"
"172,111.72,123.78,0.45,1828.92,210.74,1"
"173,73.8,94.82,0.18,1696.29,216.8,1"
"174,63.92,102.61,0.69,1790.72,216.38,1"
"175,113.16,114.63,0.36,1024.4,227.4,0"
"176,112.48,111.16,1.13,1798.78,229.96,0"
"177,106.03,106.08,0.63,1627.51,227.47,1"
"178,106.1,106.71,0.56,1737.58,214.78,1"
"179,81.28,101.49,0.43,1233.61,210.84,1"
"180,119.26,107.11,0.52,1679.65,214.37,1"
"181,107.18,93.58,0.56,1879.12,228.89,1"
"182,96.8,96.68,1.19,1231.67,228.85,1"
"183,96.46,110.51,0.35,1176.53,214.41,0"
"184,106.78,104.01,0.16,1969.1,227.68,1"
"185,119.69,96.96,0.54,1758.24,223.92,0"
"186,108.95,98.98,0.35,1536.97,221.86,1"
"187,65.49,125.1,0.39,1129.51,227.77,1"
"188,111.73,122.38,0.82,1550.86,211.74,0"
"189,82.36,100.39,0.9,1495.88,211.62,0"
"190,101.0,93.05,1.04,1495.15,219.61,1"
"191,109.48,103.91,0.85,1565.73,215.34,1"
"192,107.85,116.34,1.04,1867.29,224.17,1"
"193,101.85,117.21,0.78,1752.72,213.17,1"
"194,112.31,91.17,1.01,1128.87,216.7,1"
"195,69.65,122.72,1.02,1507.47,210.13,0"
"196,97.02,129.25,0.79,1259.8,222.68,1"
"197,106.79,94.28,0.94,1541.27,229.26,0"
"198,97.96,127.28,0.21,1937.23,223.76,1"
"199,78.06,118.33,0.17,1582.17,216.92,1"
"200,62.74,124.86,1.17,1968.88,224.99,0"
"201,105.5,90.98,0.12,1323.61,219.77,1"
"202,101.0,107.84,0.4,1997.12,218.52,1"
"203,69.82,121.79,0.86,1220.77,211.65,1"
"204,99.27,100.93,1.15,1151.06,218.65,1"
"205,85.18,115.54,0.54,1274.22,229.68,1"
"206,113.65,99.2,0.33,1031.13,223.03,1"
"207,111.86,108.93,1.17,1185.53,227.37,1"
"208,106.26,123.79,0.94,1626.22,212.62,0"
"209,115.25,114.67,0.98,1481.52,212.35,0"
"210,101.13,107.21,0.32,1491.59,211.28,1"
"211,76.14,121.9,0.44,1455.22,210.23,1"
"212,83.55,109.2,0.76,1291.66,223.9,1"
"213,106.79,91.58,0.63,1104.93,214.84,1"
"214,68.55,109.96,0.78,1702.46,221.19,1"
"215,79.59,110.71,0.2,1350.63,210.66,1"
"216,83.82,95.31,0.72,1689.46,226.01,1"
"217,70.05,94.18,0.8,1706.48,210.63,1"
"218,63.12,111.65,0.88,1870.97,224.28,1"
"219,80.37,122.59,0.19,1894.82,220.95,1"
"220,87.14,115.74,0.68,1731.59,211.63,1"
"221,74.83,96.38,1.06,1219.21,229.52,0"
"222,70.93,121.59,0.82,1498.2,221.11,1"
"223,73.71,129.85,1.17,1650.33,213.99,1"
"224,64.33,91.23,0.38,1462.62,227.37,1"
"225,104.56,107.02,0.48,1371.04,229.75,1"
"226,112.02,113.15,0.58,1725.26,219.73,1"
"227,114.04,106.87,0.4,1592.35,228.25,1"
"228,97.38,115.26,0.91,1131.57,224.32,1"
"229,70.78,99.5,1.17,1180.98,227.09,0"
"230,74.83,124.83,0.59,1514.82,217.18,1"
"231,69.81,105.64,1.17,1258.13,223.13,0"
"232,106.41,95.23,1.17,1453.79,214.72,0"
"233,70.19,110.79,0.47,1828.88,218.62,1"
"234,97.03,118.27,0.28,1167.62,210.73,1"
"235,99.83,108.99,1.03,1805.67,221.71,1"
"236,72.35,94.48,0.4,1057.09,220.62,1"
"237,62.36,94.88,0.6,1933.88,216.32,1"
"238,62.49,95.93,1.19,1965.12,210.1,1"
"239,98.35,124.72,0.6,1515.6,219.78,1"
"240,68.38,91.2,0.44,1704.68,214.04,1"
"241,118.19,93.76,0.84,1443.75,227.36,0"
"242,101.56,123.52,1.14,1683.25,219.94,1"
"243,112.13,112.82,0.13,1930.95,223.79,1"
"244,72.94,116.36,0.53,1651.23,212.13,1"
"245,119.96,91.93,1.17,1406.91,227.42,0"
"246,94.02,119.54,1.07,1404.14,216.54,1"
"247,108.47,120.49,0.98,1435.58,226.36,0"
"248,92.67,90.23,0.46,1366.46,217.92,1"
"249,83.31,107.95,0.36,1373.25,214.55,1"
"250,96.21,116.73,0.78,1463.49,217.6,1"
"251,91.14,109.17,0.13,1341.25,217.6,1"
"252,94.81,111.34,0.77,1764.88,226.26,1"
"253,117.33,90.73,0.32,1007.56,222.95,1"
"254,74.61,127.08,0.17,1934.44,217.03,1"
"255,89.15,100.27,0.41,1307.29,226.06,1"
"256,78.68,114.41,0.89,1272.62,218.27,0"
"257,70.87,117.24,0.3,1525.16,224.18,1"
"258,94.04,100.26,1.16,1483.55,226.12,1"
"259,62.6,115.33,1.15,1601.61,226.38,1"
"260,73.68,98.48,0.77,1411.03,226.8,1"
"261,81.21,99.47,0.96,1274.81,226.45,0"
"262,100.05,93.82,0.79,1451.77,221.73,1"
"263,104.21,124.51,0.34,1095.71,210.47,1"
"264,96.43,111.87,0.36,1390.91,221.89,1"
"265,119.27,95.46,0.86,1404.32,218.56,0"
"266,101.55,129.65,0.24,1104.11,224.49,1"
"267,76.45,93.18,0.19,1894.19,213.84,1"
"268,73.6,104.2,0.18,1519.06,211.35,1"
"269,74.02,111.6,1.07,1650.88,220.66,0"
"270,79.98,116.78,1.19,1661.84,221.16,1"
"271,87.91,92.41,0.72,1957.63,213.51,1"
"272,72.06,111.43,0.21,1450.37,225.12,1"
"273,99.89,121.82,1.12,1234.64,217.99,0"
"274,119.55,127.08,0.69,1842.03,220.42,1"
"275,65.35,120.21,0.24,1826.07,225.64,1"
"276,62.17,102.13,0.39,1360.14,211.75,1"
"277,93.23,102.22,0.54,1447.2,222.01,1"
"278,115.16,109.88,1.19,1851.42,214.17,1"
"279,66.98,122.7,0.52,1877.97,227.36,1"
"280,107.4,102.19,0.19,1402.98,213.47,1"
"281,80.77,129.02,0.81,1822.48,212.65,1"
"282,115.37,109.48,0.77,1764.81,213.5,1"
"283,83.92,95.85,0.5,1068.17,210.52,0"
"284,117.79,111.98,1.16,1432.5,216.24,0"
"285,86.37,94.23,0.8,1216.04,222.39,1"
"286,69.12,92.45,0.96,1459.8,211.16,1"
"287,63.47,117.8,1.18,1239.18,212.84,0"
"288,78.2,94.04,0.86,1062.29,220.19,1"
"289,108.84,114.61,0.44,1623.9,220.54,1"
"290,67.84,125.46,0.59,1194.62,217.36,1"
"291,109.65,119.34,0.95,1011.03,218.32,0"
"292,61.15,100.39,0.94,1137.11,220.71,0"
"293,60.73,99.65,1.17,1801.54,229.19,0"
"294,66.58,111.92,0.6,1844.36,211.96,1"
"295,69.0,102.99,0.91,1476.02,217.52,0"
"296,87.57,121.4,1.08,1955.33,225.74,0"
"297,101.29,107.5,0.38,1840.87,210.77,1"
"298,87.69,115.49,0.83,1895.12,222.73,1"
"299,64.0,110.74,0.27,1737.43,220.24,1"
"300,62.5,93.39,0.89,1072.08,211.43,0"
"301,117.39,119.5,0.49,1296.54,216.99,1"
"302,99.68,97.41,0.29,1098.4,223.21,1"
"303,75.9,90.84,0.19,1967.86,215.91,1"
"304,97.48,105.28,0.33,1121.39,222.3,1"
"305,98.63,111.21,0.15,1968.49,225.97,1"
"306,118.8,114.08,0.74,1748.07,226.24,1"
"307,67.69,103.53,1.12,1224.62,217.44,0"
"308,86.36,114.52,1.14,1240.69,212.43,0"
"309,113.22,115.83,0.41,1815.95,227.23,1"
"310,115.14,100.09,0.93,1460.54,226.84,0"
"311,106.59,116.25,0.3,1545.03,229.69,1"
"312,62.59,96.59,0.24,1725.98,226.36,0"
"313,90.35,123.63,0.91,1542.24,221.81,1"
"314,77.85,112.6,0.86,1873.32,222.73,1"
"315,69.6,108.46,0.11,1246.68,224.53,1"
"316,65.95,106.06,0.98,1204.04,221.1,1"
"317,96.96,97.52,0.49,1783.79,221.08,1"
"318,105.66,91.41,0.92,1202.48,229.16,0"
"319,79.62,95.96,0.44,1876.65,229.93,1"
"320,86.92,118.88,1.07,1593.04,217.83,0"
"321,101.74,90.13,0.78,1355.49,225.88,1"
"322,95.29,109.24,0.81,1064.85,221.6,0"
"323,93.64,114.14,0.84,1804.99,215.4,1"
"324,89.9,93.08,0.16,1334.24,225.7,1"
"325,107.32,110.69,0.58,1147.45,216.56,1"
"326,65.32,98.82,0.76,1735.66,229.97,1"
"327,98.55,106.85,0.8,1785.65,212.37,1"
"328,110.39,105.35,0.73,1587.77,213.69,1"
"329,80.07,91.05,0.13,1831.7,215.46,1"
"330,77.92,127.63,0.39,1429.66,227.45,1"
"331,71.17,122.11,0.6,1482.97,212.67,1"
"332,103.68,109.86,0.58,1729.51,225.31,1"
"333,96.61,95.41,0.93,1656.96,229.13,0"
"334,63.42,101.29,0.39,1246.98,228.13,0"
"335,76.32,120.38,0.59,1776.71,211.31,1"
"336,62.02,92.51,1.1,1139.25,220.65,0"
"337,80.84,125.99,0.12,1663.79,229.27,1"
"338,116.21,92.09,0.56,1260.16,224.62,1"
"339,75.39,116.17,0.32,1565.33,219.28,1"
"340,96.51,103.98,0.23,1151.25,214.51,1"
"341,111.04,112.45,0.68,1114.77,227.2,1"
"342,64.06,118.31,0.7,1081.73,219.17,0"
"343,69.95,127.83,1.03,1669.02,219.25,0"
"344,99.06,111.82,0.17,1512.5,226.13,1"
"345,63.12,121.45,0.32,1258.62,213.29,1"
"346,105.41,110.78,0.33,1877.83,227.59,1"
"347,74.33,108.05,1.18,1772.01,210.54,0"
"348,87.84,126.37,0.69,1497.81,212.11,1"
"349,109.33,105.22,0.95,1964.48,214.08,1"
"350,77.23,121.71,0.74,1634.58,225.96,1"
"351,114.91,111.32,0.27,1695.9,225.87,1"
"352,111.43,126.25,0.4,1983.52,212.81,1"
"353,71.05,125.76,0.82,1152.1,218.81,0"
"354,65.01,125.3,0.98,1505.21,229.34,0"
"355,119.05,116.72,0.8,1165.95,227.64,0"
"356,69.73,90.5,0.72,1527.4,224.39,1"
"357,64.76,119.26,0.31,1858.18,226.38,1"
"358,102.61,102.57,0.62,1821.64,219.19,1"
"359,89.65,123.13,0.47,1173.76,224.24,1"
"360,66.04,99.59,0.26,1347.94,219.01,1"
"361,99.07,114.84,0.49,1841.45,219.43,1"
"362,98.05,95.05,0.84,1325.1,223.73,0"
"363,70.49,124.23,0.35,1837.04,215.59,1"
"364,101.65,110.51,0.44,1212.64,210.66,1"
"365,99.19,127.53,1.06,1766.06,225.77,1"
"366,75.62,126.29,0.84,1560.44,212.22,0"
"367,87.62,124.58,0.7,1380.4,229.54,1"
"368,85.35,91.68,0.91,1918.08,215.6,1"
"369,77.53,126.43,0.93,1804.91,210.36,1"
"370,103.6,102.19,1.01,1281.52,227.46,0"
"371,102.22,111.63,0.21,1241.89,210.25,1"
"372,78.08,113.93,0.43,1299.92,224.86,1"
"373,114.17,124.09,0.83,1593.22,227.85,0"
"374,64.74,99.58,0.97,1034.67,221.66,0"
"375,111.34,110.86,0.17,1831.37,221.98,1"
"376,65.63,126.39,0.84,1829.29,227.58,1"
"377,91.05,107.22,0.45,1434.6,225.48,1"
"378,113.55,107.74,0.77,1631.31,221.83,1"
"379,74.25,110.49,0.21,1384.51,219.75,1"
"380,117.03,114.03,0.92,1506.27,222.68,0"
"381,75.26,104.47,0.62,1045.65,212.8,1"
"382,118.29,103.25,0.63,1196.1,222.22,0"
"383,72.42,110.66,0.11,1007.66,214.38,0"
"384,66.48,103.55,0.98,1572.05,220.25,0"
"385,115.91,105.88,0.2,1617.07,212.28,1"
"386,90.44,124.97,0.64,1702.26,229.86,1"
"387,76.48,105.78,0.56,1411.02,228.15,1"
"388,96.47,102.37,1.01,1955.06,226.42,0"
"389,98.18,92.05,0.38,1059.52,222.08,1"
"390,66.87,105.35,0.6,1369.05,212.42,1"
"391,105.07,92.84,0.19,1354.77,228.83,1"
"392,100.72,104.48,0.75,1010.13,222.72,1"
"393,96.75,124.95,0.9,1120.56,228.05,0"
"394,92.04,95.69,0.11,1422.03,215.9,1"
"395,94.63,91.75,0.24,1558.64,216.86,1"
"396,99.14,123.82,0.86,1429.93,223.46,0"
"397,78.38,121.56,0.59,1798.38,226.45,1"
"398,115.0,107.24,0.45,1582.2,217.42,1"
"399,102.34,117.54,0.51,1166.86,218.61,0"
"400,113.41,103.84,0.27,1025.45,222.92,1"
"401,80.44,92.87,0.55,1311.22,223.54,1"
"402,81.88,98.72,1.19,1454.0,223.77,0"
"403,89.14,91.1,0.66,1964.02,217.68,1"
"404,61.86,105.52,0.28,1023.35,225.12,0"
"405,77.35,126.0,0.23,1955.92,216.28,1"
"406,96.18,123.07,1.18,1288.41,229.22,0"
"407,83.13,103.62,0.7,1154.15,221.07,1"
"408,105.71,123.35,0.58,1302.33,215.19,1"
"409,63.46,103.7,0.4,1966.42,221.15,1"
"410,94.83,95.57,0.59,1626.23,219.78,1"
"411,119.63,125.21,0.79,1569.38,222.41,0"
"412,83.71,91.58,0.62,1543.02,214.55,1"
"413,114.57,118.89,0.69,1869.97,212.61,1"
"414,67.49,121.77,0.4,1877.09,228.88,1"
"415,87.76,129.24,0.63,1863.55,221.77,1"
"416,77.15,98.13,0.94,1386.54,220.23,0"
"417,94.64,124.62,1.18,1407.58,226.55,1"
"418,94.41,128.24,0.32,1109.26,227.08,1"
"419,110.82,125.72,0.17,1883.46,218.97,1"
"420,97.6,127.06,0.12,1476.84,223.75,1"
"421,101.55,95.38,0.43,1358.72,226.09,1"
"422,72.64,128.3,0.11,1997.82,223.54,1"
"423,77.68,90.57,0.91,1834.14,224.81,0"
"424,105.21,120.76,0.82,1766.12,226.92,1"
"425,65.32,109.51,0.19,1407.54,218.14,1"
"426,80.93,94.44,0.99,1947.69,211.45,1"
"427,91.35,101.98,0.18,1500.62,225.89,1"
"428,63.01,92.92,0.54,1295.29,214.65,0"
"429,108.21,127.17,0.55,1906.11,216.43,1"
"430,73.56,115.62,1.18,1603.49,217.16,1"
"431,67.38,125.55,0.65,1449.35,221.72,1"
"432,64.31,117.3,0.37,1713.95,226.45,1"
"433,93.15,110.81,0.26,1775.35,215.43,1"
"434,77.06,95.35,0.79,1054.33,224.97,1"
"435,60.01,110.45,0.15,1276.17,224.14,0"
"436,110.36,90.15,0.37,1740.9,216.33,1"
"437,81.61,100.82,1.03,1313.35,225.78,1"
"438,86.03,126.4,0.52,1964.08,211.79,1"
"439,89.63,105.51,0.8,1703.86,210.09,1"
"440,102.78,116.66,1.16,1761.04,229.02,1"
"441,77.88,94.21,0.96,1644.15,210.96,0"
"442,117.41,110.02,0.58,1457.7,214.18,1"
"443,82.19,92.09,0.94,1416.5,226.44,1"
"444,72.72,116.29,0.62,1880.16,214.31,1"
"445,96.47,101.81,0.25,1651.64,224.77,1"
"446,98.69,105.81,0.88,1199.22,227.8,0"
"447,82.07,92.32,0.22,1515.86,215.35,1"
"448,60.88,105.16,0.47,1019.33,212.49,0"
"449,89.57,106.17,0.68,1595.13,210.2,1"
"450,117.81,110.76,0.85,1311.86,225.48,0"
"451,91.28,129.04,0.24,1016.95,225.4,1"
"452,67.21,100.62,0.12,1293.31,225.46,1"
"453,80.89,104.87,0.1,1299.8,222.93,1"
"454,110.82,90.94,1.09,1783.2,225.61,0"
"455,83.88,102.12,0.17,1228.24,214.93,1"
"456,104.85,108.95,0.16,1957.79,228.85,1"
"457,119.48,111.78,1.16,1075.61,217.31,0"
"458,71.75,95.63,0.78,1781.32,221.57,1"
"459,108.67,115.44,0.53,1674.13,215.2,1"
"460,115.05,101.62,0.62,1890.14,224.15,0"
"461,68.84,90.31,0.79,1447.67,212.69,1"
"462,91.78,99.68,0.65,1679.62,211.52,1"
"463,108.42,108.39,0.7,1432.82,210.88,1"
"464,86.73,98.37,0.15,1843.65,229.62,1"
"465,111.23,99.68,1.16,1196.93,229.03,1"
"466,102.7,129.25,0.73,1259.54,218.74,1"
"467,64.38,114.89,1.18,1190.11,225.85,0"
"468,116.62,128.41,0.67,1977.31,225.15,0"
"469,88.61,118.73,0.37,1640.62,223.33,1"
"470,93.91,120.87,0.65,1012.1,210.18,1"
"471,115.57,99.15,0.8,1222.08,216.43,1"
"472,103.73,93.82,0.57,1029.17,219.62,1"
"473,67.11,101.56,0.54,1919.53,229.87,1"
"474,105.66,104.87,0.53,1754.26,228.37,1"
"475,94.63,104.28,0.97,1251.0,221.28,0"
"476,99.4,99.62,0.31,1918.24,212.04,1"
"477,73.25,91.56,0.14,1175.22,227.34,1"
"478,117.03,113.26,0.58,1580.09,220.33,1"
"479,76.95,104.12,1.08,1946.46,227.85,0"
"480,106.82,109.05,0.65,1204.68,221.82,1"
"481,79.89,124.2,0.33,1071.16,211.38,1"
"482,90.42,106.38,0.99,1835.83,216.64,1"
"483,106.27,116.19,0.27,1875.88,220.78,1"
"484,85.51,91.5,0.24,1765.55,210.0,1"
"485,91.35,92.19,1.17,1226.13,216.08,0"
"486,73.82,90.06,0.9,1966.85,214.49,1"
"487,104.51,123.94,0.56,1302.93,216.51,1"
"488,109.01,97.26,0.51,1901.94,226.13,1"
"489,105.25,105.73,0.75,1661.01,211.57,1"
"490,102.56,96.69,0.96,1583.77,229.04,0"
"491,75.92,114.06,0.43,1714.42,225.18,1"
"492,90.83,110.36,0.51,1932.92,226.55,1"
"493,102.86,108.47,1.11,1694.6,224.58,1"
"494,76.44,122.28,0.31,1345.34,216.71,1"
"495,111.39,118.05,0.9,1562.07,228.94,0"
"496,82.83,96.52,0.96,1734.44,217.69,0"
"497,110.34,90.46,0.87,1970.26,218.75,0"
"498,102.29,122.69,0.7,1967.04,211.03,1"
"499,103.11,124.51,0.3,1800.0,221.05,1"
"500,67.9,124.61,0.27,1309.79,215.8,1"
"501,100.36,121.87,0.38,1624.87,221.43,1"
"502,114.37,90.49,0.84,1051.84,220.98,0"
"503,78.41,104.12,0.78,1334.05,224.65,1"
"504,64.1,121.35,0.41,1432.77,223.71,1"
"505,63.4,104.96,1.14,1641.73,223.43,0"
"506,71.94,106.73,0.93,1101.37,215.56,0"
"507,85.92,129.21,0.17,1518.7,213.59,1"
"508,66.8,106.14,0.91,1704.55,218.45,0"
"509,83.86,100.57,0.33,1483.04,215.37,1"
"510,99.41,128.74,0.76,1076.98,211.51,1"
"511,77.84,93.68,0.76,1623.65,222.97,1"
"512,60.91,128.6,0.38,1676.03,224.13,1"
"513,78.77,100.84,0.76,1866.1,228.93,1"
"514,69.29,127.79,0.91,1882.99,214.05,1"
"515,102.07,117.2,0.55,1015.39,221.66,1"
